"지역명","규모구분","연도","월","분양가격(㎡)"
"세종","전용면적 102㎡초과","2015","10","2692"
"강원","전체","2015","10","2167"
"강원","전용면적 60㎡이하","2015","10","2286"
"강원","전용면적 60㎡초과 85㎡이하","2015","10","2212"
"강원","전용면적 85㎡초과 102㎡이하","2015","10","2061"
"강원","전용면적 102㎡초과","2015","10","2171"
"충북","전체","2015","10","2032"
"충북","전용면적 60㎡이하","2015","10","1919"
"충북","전용면적 60㎡초과 85㎡이하","2015","10","2033"
"충북","전용면적 85㎡초과 102㎡이하","2015","10","2102"
"충북","전용면적 102㎡초과","2015","10","2369"
"충남","전체","2015","10","2099"
"충남","전용면적 60㎡이하","2015","10","2206"
"충남","전용면적 60㎡초과 85㎡이하","2015","10","2101"
"충남","전용면적 85㎡초과 102㎡이하","2015","10","2743"
"충남","전용면적 102㎡초과","2015","10","2442"
"전북","전체","2015","10","2054"
"전북","전용면적 60㎡이하","2015","10","2127"
"전북","전용면적 60㎡초과 85㎡이하","2015","10","2056"
"전북","전용면적 85㎡초과 102㎡이하","2015","10","2377"
"전북","전용면적 102㎡초과","2015","10","2250"
"전남","전체","2015","10","1925"
"전남","전용면적 60㎡이하","2015","10","1999"
"전남","전용면적 60㎡초과 85㎡이하","2015","10","1922"
"전남","전용면적 85㎡초과 102㎡이하","2015","10","2262"
"전남","전용면적 102㎡초과","2015","10","2292"
"경북","전체","2015","10","2148"
"경북","전용면적 60㎡이하","2015","10","2204"
"경북","전용면적 60㎡초과 85㎡이하","2015","10","2145"
"경북","전용면적 85㎡초과 102㎡이하","2015","10","2308"
"경북","전용면적 102㎡초과","2015","10","2222"
"경남","전체","2015","10","2291"
"경남","전용면적 60㎡이하","2015","10","2239"
"경남","전용면적 60㎡초과 85㎡이하","2015","10","2305"
"경남","전용면적 85㎡초과 102㎡이하","2015","10","2890"
"경남","전용면적 102㎡초과","2015","10","3014"
"제주","전체","2015","10","2232"
"제주","전용면적 60㎡이하","2015","10",""
"제주","전용면적 60㎡초과 85㎡이하","2015","10","2225"
"제주","전용면적 85㎡초과 102㎡이하","2015","10","2583"
"제주","전용면적 102㎡초과","2015","10","2574"
"서울","전체","2015","11","6050"
"서울","전용면적 60㎡이하","2015","11","6320"
"서울","전용면적 60㎡초과 85㎡이하","2015","11","5964"
"서울","전용면적 85㎡초과 102㎡이하","2015","11","7092"
"서울","전용면적 102㎡초과","2015","11","6551"
"인천","전체","2015","11","3184"
"인천","전용면적 60㎡이하","2015","11","3328"
"인천","전용면적 60㎡초과 85㎡이하","2015","11","3119"
"인천","전용면적 85㎡초과 102㎡이하","2015","11","3545"
"인천","전용면적 102㎡초과","2015","11","3408"
"경기","전체","2015","11","3098"
"경기","전용면적 60㎡이하","2015","11","3079"
"경기","전용면적 60㎡초과 85㎡이하","2015","11","3202"
"경기","전용면적 85㎡초과 102㎡이하","2015","11","3391"
"경기","전용면적 102㎡초과","2015","11","3724"
"부산","전체","2015","11","3131"
"부산","전용면적 60㎡이하","2015","11","2982"
"부산","전용면적 60㎡초과 85㎡이하","2015","11","3037"
"부산","전용면적 85㎡초과 102㎡이하","2015","11","2957"
"부산","전용면적 102㎡초과","2015","11","3739"
"대구","전체","2015","11","2749"
"대구","전용면적 60㎡이하","2015","11","2503"
"대구","전용면적 60㎡초과 85㎡이하","2015","11","2806"
"대구","전용면적 85㎡초과 102㎡이하","2015","11","2557"
"대구","전용면적 102㎡초과","2015","11","2743"
"광주","전체","2015","11","2424"
"광주","전용면적 60㎡이하","2015","11","2251"
"광주","전용면적 60㎡초과 85㎡이하","2015","11","2444"
"광주","전용면적 85㎡초과 102㎡이하","2015","11",""
"광주","전용면적 102㎡초과","2015","11",""
"대전","전체","2015","11","2454"
"대전","전용면적 60㎡이하","2015","11","2585"
"대전","전용면적 60㎡초과 85㎡이하","2015","11","2428"
"대전","전용면적 85㎡초과 102㎡이하","2015","11","2461"
"대전","전용면적 102㎡초과","2015","11",""
"울산","전체","2015","11","3043"
"울산","전용면적 60㎡이하","2015","11","2584"
"울산","전용면적 60㎡초과 85㎡이하","2015","11","3048"
"울산","전용면적 85㎡초과 102㎡이하","2015","11","2663"
"울산","전용면적 102㎡초과","2015","11","2874"
"세종","전체","2015","11","2648"
"세종","전용면적 60㎡이하","2015","11","2572"
"세종","전용면적 60㎡초과 85㎡이하","2015","11","2666"
"세종","전용면적 85㎡초과 102㎡이하","2015","11","2644"
"세종","전용면적 102㎡초과","2015","11","2749"
"강원","전체","2015","11","2171"
"강원","전용면적 60㎡이하","2015","11","2292"
"강원","전용면적 60㎡초과 85㎡이하","2015","11","2193"
"강원","전용면적 85㎡초과 102㎡이하","2015","11","2061"
"강원","전용면적 102㎡초과","2015","11","2171"
"충북","전체","2015","11","2004"
"충북","전용면적 60㎡이하","2015","11","1921"
"충북","전용면적 60㎡초과 85㎡이하","2015","11","2015"
"충북","전용면적 85㎡초과 102㎡이하","2015","11","1868"
"충북","전용면적 102㎡초과","2015","11","2277"
"충남","전체","2015","11","2100"
"충남","전용면적 60㎡이하","2015","11","2214"
"충남","전용면적 60㎡초과 85㎡이하","2015","11","2105"
"충남","전용면적 85㎡초과 102㎡이하","2015","11","2523"
"충남","전용면적 102㎡초과","2015","11","2468"
"전북","전체","2015","11","2057"
"전북","전용면적 60㎡이하","2015","11","2129"
"전북","전용면적 60㎡초과 85㎡이하","2015","11","2057"
"전북","전용면적 85㎡초과 102㎡이하","2015","11","2377"
"전북","전용면적 102㎡초과","2015","11","2282"
"전남","전체","2015","11","1909"
"전남","전용면적 60㎡이하","2015","11","1999"
"전남","전용면적 60㎡초과 85㎡이하","2015","11","1906"
"전남","전용면적 85㎡초과 102㎡이하","2015","11","2262"
"전남","전용면적 102㎡초과","2015","11","2176"
"경북","전체","2015","11","2190"
"경북","전용면적 60㎡이하","2015","11","2210"
"경북","전용면적 60㎡초과 85㎡이하","2015","11","2186"
"경북","전용면적 85㎡초과 102㎡이하","2015","11","2516"
"경북","전용면적 102㎡초과","2015","11","2370"
"경남","전체","2015","11","2298"
"경남","전용면적 60㎡이하","2015","11","2200"
"경남","전용면적 60㎡초과 85㎡이하","2015","11","2322"
"경남","전용면적 85㎡초과 102㎡이하","2015","11","2980"
"경남","전용면적 102㎡초과","2015","11","3043"
"제주","전체","2015","11","2232"
"제주","전용면적 60㎡이하","2015","11",""
"제주","전용면적 60㎡초과 85㎡이하","2015","11","2225"
"제주","전용면적 85㎡초과 102㎡이하","2015","11","2583"
"제주","전용면적 102㎡초과","2015","11","2574"
"서울","전체","2015","12","6041"
"서울","전용면적 60㎡이하","2015","12","6321"
"서울","전용면적 60㎡초과 85㎡이하","2015","12","5966"
"서울","전용면적 85㎡초과 102㎡이하","2015","12","6513"
"서울","전용면적 102㎡초과","2015","12","6551"
"인천","전체","2015","12","3184"
"인천","전용면적 60㎡이하","2015","12","3328"
"인천","전용면적 60㎡초과 85㎡이하","2015","12","3119"
"인천","전용면적 85㎡초과 102㎡이하","2015","12","3545"
"인천","전용면적 102㎡초과","2015","12","3408"
"경기","전체","2015","12","3198"
"경기","전용면적 60㎡이하","2015","12","3293"
"경기","전용면적 60㎡초과 85㎡이하","2015","12","3314"
"경기","전용면적 85㎡초과 102㎡이하","2015","12","3449"
"경기","전용면적 102㎡초과","2015","12","3850"
"부산","전체","2015","12","3127"
"부산","전용면적 60㎡이하","2015","12","2951"
"부산","전용면적 60㎡초과 85㎡이하","2015","12","3032"
"부산","전용면적 85㎡초과 102㎡이하","2015","12","2957"
"부산","전용면적 102㎡초과","2015","12","3739"
"대구","전체","2015","12","2962"
"대구","전용면적 60㎡이하","2015","12","3282"
"대구","전용면적 60㎡초과 85㎡이하","2015","12","2971"
"대구","전용면적 85㎡초과 102㎡이하","2015","12","2532"
"대구","전용면적 102㎡초과","2015","12","2743"
"광주","전체","2015","12","2476"
"광주","전용면적 60㎡이하","2015","12","2395"
"광주","전용면적 60㎡초과 85㎡이하","2015","12","2489"
"광주","전용면적 85㎡초과 102㎡이하","2015","12",""
"광주","전용면적 102㎡초과","2015","12",""
"대전","전체","2015","12","2454"
"대전","전용면적 60㎡이하","2015","12","2585"
"대전","전용면적 60㎡초과 85㎡이하","2015","12","2428"
"대전","전용면적 85㎡초과 102㎡이하","2015","12","2461"
"대전","전용면적 102㎡초과","2015","12",""
"울산","전체","2015","12","3043"
"울산","전용면적 60㎡이하","2015","12","2584"
"울산","전용면적 60㎡초과 85㎡이하","2015","12","3048"
"울산","전용면적 85㎡초과 102㎡이하","2015","12","2663"
"울산","전용면적 102㎡초과","2015","12","2874"
"세종","전체","2015","12","2665"
"세종","전용면적 60㎡이하","2015","12","2601"
"세종","전용면적 60㎡초과 85㎡이하","2015","12","2676"
"세종","전용면적 85㎡초과 102㎡이하","2015","12","2661"
"세종","전용면적 102㎡초과","2015","12","2752"
"강원","전체","2015","12","2171"
"강원","전용면적 60㎡이하","2015","12","2292"
"강원","전용면적 60㎡초과 85㎡이하","2015","12","2193"
"강원","전용면적 85㎡초과 102㎡이하","2015","12","2061"
"강원","전용면적 102㎡초과","2015","12","2171"
"충북","전체","2015","12","2005"
"충북","전용면적 60㎡이하","2015","12","1941"
"충북","전용면적 60㎡초과 85㎡이하","2015","12","2017"
"충북","전용면적 85㎡초과 102㎡이하","2015","12","2276"
"충북","전용면적 102㎡초과","2015","12","2261"
"충남","전체","2015","12","2269"
"충남","전용면적 60㎡이하","2015","12","2438"
"충남","전용면적 60㎡초과 85㎡이하","2015","12","2279"
"충남","전용면적 85㎡초과 102㎡이하","2015","12","2523"
"충남","전용면적 102㎡초과","2015","12","2444"
"전북","전체","2015","12","1983"
"전북","전용면적 60㎡이하","2015","12","1925"
"전북","전용면적 60㎡초과 85㎡이하","2015","12","1987"
"전북","전용면적 85㎡초과 102㎡이하","2015","12","2377"
"전북","전용면적 102㎡초과","2015","12","2282"
"전남","전체","2015","12","1909"
"전남","전용면적 60㎡이하","2015","12","1999"
"전남","전용면적 60㎡초과 85㎡이하","2015","12","1906"
"전남","전용면적 85㎡초과 102㎡이하","2015","12","2262"
"전남","전용면적 102㎡초과","2015","12","2176"
"경북","전체","2015","12","2181"
"경북","전용면적 60㎡이하","2015","12","2178"
"경북","전용면적 60㎡초과 85㎡이하","2015","12","2184"
"경북","전용면적 85㎡초과 102㎡이하","2015","12","2516"
"경북","전용면적 102㎡초과","2015","12","2370"
"경남","전체","2015","12","2307"
"경남","전용면적 60㎡이하","2015","12","2280"
"경남","전용면적 60㎡초과 85㎡이하","2015","12","2329"
"경남","전용면적 85㎡초과 102㎡이하","2015","12","2934"
"경남","전용면적 102㎡초과","2015","12","3019"
"제주","전체","2015","12","2268"
"제주","전용면적 60㎡이하","2015","12",""
"제주","전용면적 60㎡초과 85㎡이하","2015","12","2260"
"제주","전용면적 85㎡초과 102㎡이하","2015","12","2583"
"제주","전용면적 102㎡초과","2015","12","2574"
"서울","전체","2016","01","6108"
"서울","전용면적 60㎡이하","2016","01","6427"
"서울","전용면적 60㎡초과 85㎡이하","2016","01","6036"
"서울","전용면적 85㎡초과 102㎡이하","2016","01","6513"
"서울","전용면적 102㎡초과","2016","01","6551"
"인천","전체","2016","01","3191"
"인천","전용면적 60㎡이하","2016","01","3328"
"인천","전용면적 60㎡초과 85㎡이하","2016","01","3110"
"인천","전용면적 85㎡초과 102㎡이하","2016","01","3545"
"인천","전용면적 102㎡초과","2016","01","3408"
"경기","전체","2016","01","3198"
"경기","전용면적 60㎡이하","2016","01","3293"
"경기","전용면적 60㎡초과 85㎡이하","2016","01","3313"
"경기","전용면적 85㎡초과 102㎡이하","2016","01","3450"
"경기","전용면적 102㎡초과","2016","01","3850"
"부산","전체","2016","01","3152"
"부산","전용면적 60㎡이하","2016","01","2951"
"부산","전용면적 60㎡초과 85㎡이하","2016","01","3057"
"부산","전용면적 85㎡초과 102㎡이하","2016","01","2957"
"부산","전용면적 102㎡초과","2016","01","3812"
"대구","전체","2016","01","3086"
"대구","전용면적 60㎡이하","2016","01","3341"
"대구","전용면적 60㎡초과 85㎡이하","2016","01","3103"
"대구","전용면적 85㎡초과 102㎡이하","2016","01","2532"
"대구","전용면적 102㎡초과","2016","01","2743"
"광주","전체","2016","01","2569"
"광주","전용면적 60㎡이하","2016","01","2395"
"광주","전용면적 60㎡초과 85㎡이하","2016","01","2582"
"광주","전용면적 85㎡초과 102㎡이하","2016","01",""
"광주","전용면적 102㎡초과","2016","01",""
"대전","전체","2016","01","2454"
"대전","전용면적 60㎡이하","2016","01","2585"
"대전","전용면적 60㎡초과 85㎡이하","2016","01","2428"
"대전","전용면적 85㎡초과 102㎡이하","2016","01","2461"
"대전","전용면적 102㎡초과","2016","01",""
"울산","전체","2016","01","3046"
"울산","전용면적 60㎡이하","2016","01","2584"
"울산","전용면적 60㎡초과 85㎡이하","2016","01","3053"
"울산","전용면적 85㎡초과 102㎡이하","2016","01","2663"
"울산","전용면적 102㎡초과","2016","01","2874"
"세종","전체","2016","01","2665"
"세종","전용면적 60㎡이하","2016","01","2601"
"세종","전용면적 60㎡초과 85㎡이하","2016","01","2676"
"세종","전용면적 85㎡초과 102㎡이하","2016","01","2661"
"세종","전용면적 102㎡초과","2016","01","2752"
"강원","전체","2016","01","2173"
"강원","전용면적 60㎡이하","2016","01","2290"
"강원","전용면적 60㎡초과 85㎡이하","2016","01","2199"
"강원","전용면적 85㎡초과 102㎡이하","2016","01","2061"
"강원","전용면적 102㎡초과","2016","01","2171"
"충북","전체","2016","01","2008"
"충북","전용면적 60㎡이하","2016","01","1952"
"충북","전용면적 60㎡초과 85㎡이하","2016","01","2021"
"충북","전용면적 85㎡초과 102㎡이하","2016","01","2276"
"충북","전용면적 102㎡초과","2016","01","2261"
"충남","전체","2016","01","2270"
"충남","전용면적 60㎡이하","2016","01","2481"
"충남","전용면적 60㎡초과 85㎡이하","2016","01","2281"
"충남","전용면적 85㎡초과 102㎡이하","2016","01","2541"
"충남","전용면적 102㎡초과","2016","01","2444"
"전북","전체","2016","01","1980"
"전북","전용면적 60㎡이하","2016","01","1908"
"전북","전용면적 60㎡초과 85㎡이하","2016","01","1987"
"전북","전용면적 85㎡초과 102㎡이하","2016","01","2377"
"전북","전용면적 102㎡초과","2016","01","2282"
"전남","전체","2016","01","1909"
"전남","전용면적 60㎡이하","2016","01","1999"
"전남","전용면적 60㎡초과 85㎡이하","2016","01","1906"
"전남","전용면적 85㎡초과 102㎡이하","2016","01","2262"
"전남","전용면적 102㎡초과","2016","01","2176"
"경북","전체","2016","01","2181"
"경북","전용면적 60㎡이하","2016","01","2178"
"경북","전용면적 60㎡초과 85㎡이하","2016","01","2185"
"경북","전용면적 85㎡초과 102㎡이하","2016","01","2516"
"경북","전용면적 102㎡초과","2016","01","2346"
"경남","전체","2016","01","2327"
"경남","전용면적 60㎡이하","2016","01","2270"
"경남","전용면적 60㎡초과 85㎡이하","2016","01","2348"
"경남","전용면적 85㎡초과 102㎡이하","2016","01","2925"
"경남","전용면적 102㎡초과","2016","01","2828"
"제주","전체","2016","01","2268"
"제주","전용면적 60㎡이하","2016","01",""
"제주","전용면적 60㎡초과 85㎡이하","2016","01","2260"
"제주","전용면적 85㎡초과 102㎡이하","2016","01","2583"
"제주","전용면적 102㎡초과","2016","01","2574"
"서울","전체","2016","02","6111"
"서울","전용면적 60㎡이하","2016","02","6438"
"서울","전용면적 60㎡초과 85㎡이하","2016","02","6039"
"서울","전용면적 85㎡초과 102㎡이하","2016","02","6513"
"서울","전용면적 102㎡초과","2016","02","6458"
"인천","전체","2016","02","3192"
"인천","전용면적 60㎡이하","2016","02","3328"
"인천","전용면적 60㎡초과 85㎡이하","2016","02","3112"
"인천","전용면적 85㎡초과 102㎡이하","2016","02","3545"
"인천","전용면적 102㎡초과","2016","02","3408"
"경기","전체","2016","02","3219"
"경기","전용면적 60㎡이하","2016","02","3294"
"경기","전용면적 60㎡초과 85㎡이하","2016","02","3268"
"경기","전용면적 85㎡초과 102㎡이하","2016","02","3381"
"경기","전용면적 102㎡초과","2016","02","3669"
"부산","전체","2016","02","3154"
"부산","전용면적 60㎡이하","2016","02","2999"
"부산","전용면적 60㎡초과 85㎡이하","2016","02","3060"
"부산","전용면적 85㎡초과 102㎡이하","2016","02","2957"
"부산","전용면적 102㎡초과","2016","02","3812"
"대구","전체","2016","02","3064"
"대구","전용면적 60㎡이하","2016","02","3341"
"대구","전용면적 60㎡초과 85㎡이하","2016","02","3079"
"대구","전용면적 85㎡초과 102㎡이하","2016","02","2532"
"대구","전용면적 102㎡초과","2016","02","2743"
"광주","전체","2016","02","2569"
"광주","전용면적 60㎡이하","2016","02","2395"
"광주","전용면적 60㎡초과 85㎡이하","2016","02","2582"
"광주","전용면적 85㎡초과 102㎡이하","2016","02",""
"광주","전용면적 102㎡초과","2016","02",""
"대전","전체","2016","02","2454"
"대전","전용면적 60㎡이하","2016","02","2585"
"대전","전용면적 60㎡초과 85㎡이하","2016","02","2428"
"대전","전용면적 85㎡초과 102㎡이하","2016","02","2461"
"대전","전용면적 102㎡초과","2016","02",""
"울산","전체","2016","02","3046"
"울산","전용면적 60㎡이하","2016","02","2584"
"울산","전용면적 60㎡초과 85㎡이하","2016","02","3053"
"울산","전용면적 85㎡초과 102㎡이하","2016","02","2663"
"울산","전용면적 102㎡초과","2016","02","2874"
"세종","전체","2016","02","2665"
"세종","전용면적 60㎡이하","2016","02","2601"
"세종","전용면적 60㎡초과 85㎡이하","2016","02","2676"
"세종","전용면적 85㎡초과 102㎡이하","2016","02","2661"
"세종","전용면적 102㎡초과","2016","02","2752"
"강원","전체","2016","02","2173"
"강원","전용면적 60㎡이하","2016","02","2290"
"강원","전용면적 60㎡초과 85㎡이하","2016","02","2200"
"강원","전용면적 85㎡초과 102㎡이하","2016","02",""
"강원","전용면적 102㎡초과","2016","02","2350"
"충북","전체","2016","02","2008"
"충북","전용면적 60㎡이하","2016","02","1952"
"충북","전용면적 60㎡초과 85㎡이하","2016","02","2021"
"충북","전용면적 85㎡초과 102㎡이하","2016","02","2276"
"충북","전용면적 102㎡초과","2016","02","2261"
"충남","전체","2016","02","2272"
"충남","전용면적 60㎡이하","2016","02","2496"
"충남","전용면적 60㎡초과 85㎡이하","2016","02","2282"
"충남","전용면적 85㎡초과 102㎡이하","2016","02","2541"
"충남","전용면적 102㎡초과","2016","02","2444"
"전북","전체","2016","02","1980"
"전북","전용면적 60㎡이하","2016","02","1908"
"전북","전용면적 60㎡초과 85㎡이하","2016","02","1987"
"전북","전용면적 85㎡초과 102㎡이하","2016","02","2377"
"전북","전용면적 102㎡초과","2016","02","2283"
"전남","전체","2016","02","1923"
"전남","전용면적 60㎡이하","2016","02","1999"
"전남","전용면적 60㎡초과 85㎡이하","2016","02","1921"
"전남","전용면적 85㎡초과 102㎡이하","2016","02","2262"
"전남","전용면적 102㎡초과","2016","02","2176"
"경북","전체","2016","02","2179"
"경북","전용면적 60㎡이하","2016","02","2172"
"경북","전용면적 60㎡초과 85㎡이하","2016","02","2191"
"경북","전용면적 85㎡초과 102㎡이하","2016","02","2532"
"경북","전용면적 102㎡초과","2016","02","2346"
"경남","전체","2016","02","2358"
"경남","전용면적 60㎡이하","2016","02","2361"
"경남","전용면적 60㎡초과 85㎡이하","2016","02","2375"
"경남","전용면적 85㎡초과 102㎡이하","2016","02","2925"
"경남","전용면적 102㎡초과","2016","02","2673"
"제주","전체","2016","02","2268"
"제주","전용면적 60㎡이하","2016","02",""
"제주","전용면적 60㎡초과 85㎡이하","2016","02","2260"
"제주","전용면적 85㎡초과 102㎡이하","2016","02","2583"
"제주","전용면적 102㎡초과","2016","02","2574"
"서울","전체","2016","03","6173"
"서울","전용면적 60㎡이하","2016","03","6550"
"서울","전용면적 60㎡초과 85㎡이하","2016","03","6127"
"서울","전용면적 85㎡초과 102㎡이하","2016","03","7179"
"서울","전용면적 102㎡초과","2016","03","6371"
"인천","전체","2016","03","3190"
"인천","전용면적 60㎡이하","2016","03","3323"
"인천","전용면적 60㎡초과 85㎡이하","2016","03","3111"
"인천","전용면적 85㎡초과 102㎡이하","2016","03","3545"
"인천","전용면적 102㎡초과","2016","03","3408"
"경기","전체","2016","03","3215"
"경기","전용면적 60㎡이하","2016","03","3441"
"경기","전용면적 60㎡초과 85㎡이하","2016","03","3259"
"경기","전용면적 85㎡초과 102㎡이하","2016","03","3363"
"경기","전용면적 102㎡초과","2016","03","3680"
"부산","전체","2016","03","3178"
"부산","전용면적 60㎡이하","2016","03","2951"
"부산","전용면적 60㎡초과 85㎡이하","2016","03","3102"
"부산","전용면적 85㎡초과 102㎡이하","2016","03","2957"
"부산","전용면적 102㎡초과","2016","03","3727"
"대구","전체","2016","03","3119"
"대구","전용면적 60㎡이하","2016","03","3341"
"대구","전용면적 60㎡초과 85㎡이하","2016","03","3154"
"대구","전용면적 85㎡초과 102㎡이하","2016","03","2539"
"대구","전용면적 102㎡초과","2016","03","2743"
"광주","전체","2016","03","2590"
"광주","전용면적 60㎡이하","2016","03","2470"
"광주","전용면적 60㎡초과 85㎡이하","2016","03","2601"
"광주","전용면적 85㎡초과 102㎡이하","2016","03",""
"광주","전용면적 102㎡초과","2016","03",""
"대전","전체","2016","03","2454"
"대전","전용면적 60㎡이하","2016","03","2585"
"대전","전용면적 60㎡초과 85㎡이하","2016","03","2428"
"대전","전용면적 85㎡초과 102㎡이하","2016","03","2461"
"대전","전용면적 102㎡초과","2016","03",""
"울산","전체","2016","03","3066"
"울산","전용면적 60㎡이하","2016","03","2584"
"울산","전용면적 60㎡초과 85㎡이하","2016","03","3075"
"울산","전용면적 85㎡초과 102㎡이하","2016","03","2663"
"울산","전용면적 102㎡초과","2016","03","3057"
"세종","전체","2016","03","2670"
"세종","전용면적 60㎡이하","2016","03","2601"
"세종","전용면적 60㎡초과 85㎡이하","2016","03","2681"
"세종","전용면적 85㎡초과 102㎡이하","2016","03","2670"
"세종","전용면적 102㎡초과","2016","03","2752"
"강원","전체","2016","03","2194"
"강원","전용면적 60㎡이하","2016","03","2249"
"강원","전용면적 60㎡초과 85㎡이하","2016","03","2221"
"강원","전용면적 85㎡초과 102㎡이하","2016","03",""
"강원","전용면적 102㎡초과","2016","03","2350"
"충북","전체","2016","03","1980"
"충북","전용면적 60㎡이하","2016","03","1925"
"충북","전용면적 60㎡초과 85㎡이하","2016","03","2021"
"충북","전용면적 85㎡초과 102㎡이하","2016","03","2276"
"충북","전용면적 102㎡초과","2016","03","2261"
"충남","전체","2016","03","2115"
"충남","전용면적 60㎡이하","2016","03","2226"
"충남","전용면적 60㎡초과 85㎡이하","2016","03","2114"
"충남","전용면적 85㎡초과 102㎡이하","2016","03","2541"
"충남","전용면적 102㎡초과","2016","03","2444"
"전북","전체","2016","03","1951"
"전북","전용면적 60㎡이하","2016","03","1910"
"전북","전용면적 60㎡초과 85㎡이하","2016","03","1959"
"전북","전용면적 85㎡초과 102㎡이하","2016","03","2269"
"전북","전용면적 102㎡초과","2016","03","2293"
"전남","전체","2016","03","1921"
"전남","전용면적 60㎡이하","2016","03","2002"
"전남","전용면적 60㎡초과 85㎡이하","2016","03","1919"
"전남","전용면적 85㎡초과 102㎡이하","2016","03","2262"
"전남","전용면적 102㎡초과","2016","03","2176"
"경북","전체","2016","03","2179"
"경북","전용면적 60㎡이하","2016","03","2173"
"경북","전용면적 60㎡초과 85㎡이하","2016","03","2191"
"경북","전용면적 85㎡초과 102㎡이하","2016","03","2675"
"경북","전용면적 102㎡초과","2016","03","2314"
"경남","전체","2016","03","2383"
"경남","전용면적 60㎡이하","2016","03","2366"
"경남","전용면적 60㎡초과 85㎡이하","2016","03","2392"
"경남","전용면적 85㎡초과 102㎡이하","2016","03","3053"
"경남","전용면적 102㎡초과","2016","03","2645"
"제주","전체","2016","03","2314"
"제주","전용면적 60㎡이하","2016","03",""
"제주","전용면적 60㎡초과 85㎡이하","2016","03","2314"
"제주","전용면적 85㎡초과 102㎡이하","2016","03",""
"제주","전용면적 102㎡초과","2016","03",""
"서울","전체","2016","04","6241"
"서울","전용면적 60㎡이하","2016","04","6618"
"서울","전용면적 60㎡초과 85㎡이하","2016","04","6196"
"서울","전용면적 85㎡초과 102㎡이하","2016","04","8096"
"서울","전용면적 102㎡초과","2016","04","6353"
"인천","전체","2016","04","3238"
"인천","전용면적 60㎡이하","2016","04","3323"
"인천","전용면적 60㎡초과 85㎡이하","2016","04","3147"
"인천","전용면적 85㎡초과 102㎡이하","2016","04","3545"
"인천","전용면적 102㎡초과","2016","04","4839"
"경기","전체","2016","04","3199"
"경기","전용면적 60㎡이하","2016","04","3400"
"경기","전용면적 60㎡초과 85㎡이하","2016","04","3243"
"경기","전용면적 85㎡초과 102㎡이하","2016","04","3395"
"경기","전용면적 102㎡초과","2016","04","3611"
"부산","전체","2016","04","3169"
"부산","전용면적 60㎡이하","2016","04","2973"
"부산","전용면적 60㎡초과 85㎡이하","2016","04","3087"
"부산","전용면적 85㎡초과 102㎡이하","2016","04","2930"
"부산","전용면적 102㎡초과","2016","04","3727"
"대구","전체","2016","04","3132"
"대구","전용면적 60㎡이하","2016","04","3341"
"대구","전용면적 60㎡초과 85㎡이하","2016","04","3168"
"대구","전용면적 85㎡초과 102㎡이하","2016","04","2539"
"대구","전용면적 102㎡초과","2016","04","2743"
"광주","전체","2016","04","2700"
"광주","전용면적 60㎡이하","2016","04","2600"
"광주","전용면적 60㎡초과 85㎡이하","2016","04","2696"
